rank_by_delta,label,urgent_slots,strategy,rule,rule_name,base_mean,candidate_mean,delta_OV,se_delta,welch_df,t_crit,half_width_bonferroni,ci_lower,ci_upper,alpha_overall,alpha_per_ci,ci_level_pct,n_base_batches,n_candidate_batches,direction,interpretation,significant
1,15 slots | S3 - Bailey-Welch,15,3,2,Bailey-Welch,0.45116133,0.41169767,-0.03946367,0.00682855,97.10074495,3.16319051,0.02159999,-0.06106366,-0.01786367,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
2,15 slots | S3 - Benchmarking,15,3,4,Benchmarking,0.45116133,0.41281362,-0.03834771,0.00685350,96.80777630,3.16345453,0.02168074,-0.06002846,-0.01666697,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
3,15 slots | S3 - FCFS,15,3,1,FCFS,0.45116133,0.41418927,-0.03697207,0.00683091,97.07292536,3.16321551,0.02160764,-0.05857971,-0.01536443,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
4,15 slots | S3 - Blocking,15,3,3,Blocking,0.45116133,0.41626060,-0.03490073,0.00684019,96.96380263,3.16331372,0.02163767,-0.05653840,-0.01326306,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
5,15 slots | S2 - Bailey-Welch,15,2,2,Bailey-Welch,0.45116133,0.41717090,-0.03399043,0.00684093,96.95516886,3.16332150,0.02164005,-0.05563048,-0.01235038,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
6,15 slots | S2 - Benchmarking,15,2,4,Benchmarking,0.45116133,0.41868217,-0.03247916,0.00688035,96.49493136,3.16373827,0.02176761,-0.05424677,-0.01071155,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
7,15 slots | S2 - FCFS,15,2,1,FCFS,0.45116133,0.41998200,-0.03117934,0.00685130,96.83357565,3.16343121,0.02167361,-0.05285295,-0.00950573,0.05000000,0.00208333,99.79166667,58,58,BETTER,significantly better than base,True
8,15 slots | S2 - Blocking,15,2,3,Blocking,0.45116133,0.43277378,-0.01838756,0.00685693,96.76767238,3.16349079,0.02169184,-0.04007940,0.00330429,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
9,16 slots | S3 - Bailey-Welch,16,3,2,Bailey-Welch,0.45116133,0.43995856,-0.01120278,0.01093041,71.39246489,3.19488645,0.03492143,-0.04612421,0.02371865,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
10,16 slots | S3 - Benchmarking,16,3,4,Benchmarking,0.45116133,0.44132423,-0.00983710,0.01097765,71.25762599,3.19511504,0.03507484,-0.04491194,0.02523774,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
11,16 slots | S3 - FCFS,16,3,1,FCFS,0.45116133,0.44275110,-0.00841023,0.01095085,71.33387989,3.19498566,0.03498782,-0.04339805,0.02657759,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
12,16 slots | S3 - Blocking,16,3,3,Blocking,0.45116133,0.44475721,-0.00640412,0.01094799,71.34207615,3.19497177,0.03497851,-0.04138263,0.02857439,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
13,16 slots | S2 - Bailey-Welch,16,2,2,Bailey-Welch,0.45116133,0.45447195,0.00331062,0.01090213,71.47414040,3.19474842,0.03482955,-0.03151894,0.03814017,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
14,16 slots | S2 - Benchmarking,16,2,4,Benchmarking,0.45116133,0.45608648,0.00492515,0.01095860,71.31175846,3.19502316,0.03501299,-0.03008784,0.03993814,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
15,16 slots | S2 - FCFS,16,2,1,FCFS,0.45116133,0.45741712,0.00625579,0.01090864,71.45528495,3.19478026,0.03485070,-0.02859491,0.04110648,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
16,16 slots | S2 - Blocking,16,2,3,Blocking,0.45116133,0.47014026,0.01897892,0.01090300,71.47162350,3.19475267,0.03483237,-0.01585345,0.05381130,0.05000000,0.00208333,99.79166667,58,58,n.s.,not significantly different from base,False
17,17 slots | S3 - Bailey-Welch,17,3,2,Bailey-Welch,0.45116133,0.55213187,0.10097054,0.02125157,60.53292156,3.21668927,0.06835970,0.03261084,0.16933024,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
18,17 slots | S3 - Benchmarking,17,3,4,Benchmarking,0.45116133,0.55357294,0.10241160,0.02130570,60.51447550,3.21673323,0.06853475,0.03387685,0.17094635,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
19,17 slots | S3 - FCFS,17,3,1,FCFS,0.45116133,0.55491679,0.10375546,0.02129148,60.51930631,3.21672172,0.06848877,0.03526669,0.17224423,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
20,17 slots | S3 - Blocking,17,3,3,Blocking,0.45116133,0.55695767,0.10579633,0.02127266,60.52571841,3.21670644,0.06842789,0.03736844,0.17422423,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
21,17 slots | S2 - Bailey-Welch,17,2,2,Bailey-Welch,0.45116133,0.56556298,0.11440165,0.02130924,60.51327415,3.21673610,0.06854620,0.04585545,0.18294785,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
22,17 slots | S2 - Benchmarking,17,2,4,Benchmarking,0.45116133,0.56707092,0.11590958,0.02133441,60.50475028,3.21675642,0.06862760,0.04728198,0.18453718,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
23,17 slots | S2 - FCFS,17,2,1,FCFS,0.45116133,0.56834358,0.11718225,0.02130935,60.51323542,3.21673619,0.06854657,0.04863568,0.18572882,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
24,17 slots | S2 - Blocking,17,2,3,Blocking,0.45116133,0.58150419,0.13034285,0.02129084,60.51952466,3.21672120,0.06848670,0.06185616,0.19882955,0.05000000,0.00208333,99.79166667,58,58,WORSE,significantly worse than base,True
